Timestamp,Членом какой команды (организации) вы являетесь?,Как часто вы пользуетесь приложениями чтобы записать что-то или напомнить себе о чём-то?,Какими приложениями вы пользуетесь (если) для напоминания и записи о чём-то ни было?,Насколько вам близка проблема забывания дней рождения близких?,Как часто вы сталкиваетесь с трудностями при выборе подарков?,Какие функции проекта кажутся вам наиболее полезными?  (выберите до 3 вариантов),Как вы оцениваете уникальность проекта по сравнению с аналогичными сервисами?,Что бы вы добавили в приложение для повышения удобства? (открытый вопрос),Что вам не нравится в текущей концепции приложения? (открытый вопрос),Какие риски вы видите в использовании такого приложения?  (выберите до 2 вариантов),Как вы относитесь к платной подписке за дополнительные функции?,Какая модель оплаты для вас предпочтительнее?,Насколько вас раздражает реклама в бесплатной версии приложений?,Как вы относитесь к партнёрским ссылкам на магазины внутри приложения?,Что могло бы убедить вас оформить подписку? (выберите до 2 вариантов),Какую максимальную сумму вы готовы платить ежемесячно за такой сервис?,Что вас отталкивает/привлекает в текущей модели монетизации проекта? (открытый вопрос)
5/15/2025 13:23:10,2,4,"Obsidian/Logseq, Заметки",2,1,"Календарь с напоминаниями, Анкеты друзей с предпочтениями, Возможность делиться идеями подарков",Значительно лучше аналогов,,,"Сложность интерфейса, Недостаток полезного контента",Предпочитаю бесплатные аналоги,Бесплатный доступ с рекламой,Иногда раздражает,Нейтрально,"Эксклюзивный контент (например, гайды по выбору подарков), Отсутствие рекламы",50–100 руб.,
5/15/2025 13:26:58,2,2,Заметки,5,4,"Календарь с напоминаниями, Анкеты друзей с предпочтениями, Подбор подарков через партнёрские магазины",Есть небольшие преимущества,,,"Конфиденциальность данных, Навязчивая реклама",Зависит от цены и набора функций,Годовая подписка (999 руб.),Иногда раздражает,Нейтрально,"Скидка на первый месяц, Расширенные функции (например, AI-подбор подарков)",50–100 руб.,
5/15/2025 13:30:34,2,3,"Заметки, Личные сообщения в мессенджере (избранное, закрытый канал и т.п.)",3,4,"Календарь с напоминаниями, Анкеты друзей с предпочтениями, Подбор подарков через партнёрские магазины",Есть небольшие преимущества,,,"Навязчивая реклама, Недостаток полезного контента","Готов(а) платить, если сервис решит мои проблемы",Ежемесячная подписка (99 руб.),Иногда раздражает,"Это удобно, если подарки качественные","Скидка на первый месяц, Эксклюзивный контент (например, гайды по выбору подарков)",100–200 руб.,
5/22/2025 11:54:25,Команда 1,5,"Заметки, Личные сообщения в мессенджере (избранное, закрытый канал и т.п.)",5,5,"Календарь с напоминаниями, Анкеты друзей с предпочтениями, Подбор подарков через партнёрские магазины",Значительно лучше аналогов,Возможно в будущем создать Mini-App,"Никаких неудобств нет, интеграция с Telegram довольно приятное решение; хотелось бы видеть возможность импорта/экспорта данных","Сложность интерфейса, Недостаток полезного контента",Зависит от цены и набора функций,Бесплатный доступ с рекламой,Иногда раздражает,"Это удобно, если подарки качественные","Скидка на первый месяц, Отсутствие рекламы",50–100 руб.,
5/22/2025 11:55:57,Команда 6,1,ничего,1,4,"Подбор подарков через партнёрские магазины, Возможность делиться идеями подарков, Рейтинг популярных подарков",Есть небольшие преимущества,более умную и удобную систему подбора,потенциальная ошибка на стороне нейросети,"Сложность интерфейса, Недостаток полезного контента","Готов(а) платить, если сервис решит мои проблемы",Годовая подписка (999 руб.),Совсем не мешает,"Это удобно, если подарки качественные","Эксклюзивный контент (например, гайды по выбору подарков), Расширенные функции (например, AI-подбор подарков)",100–200 руб.,
5/22/2025 11:56:45,команда 3,5,"Obsidian/Logseq, Заметки, Блокнот, Личные сообщения в мессенджере (избранное, закрытый канал и т.п.)",5,5,"Календарь с напоминаниями, Подбор подарков через партнёрские магазины, Рейтинг популярных подарков",Значительно лучше аналогов,,,"Конфиденциальность данных, Недостаток полезного контента","Готов(а) платить, если сервис решит мои проблемы",Годовая подписка (999 руб.),"Готова(ов) платить, чтобы убрать рекламу","Это удобно, если подарки качественные","Расширенные функции (например, AI-подбор подарков), Отсутствие рекламы",100–200 руб.,
5/22/2025 11:56:51,Команда 1,5,"Obsidian/Logseq, Заметки, Блокнот, Личные сообщения в мессенджере (избранное, закрытый канал и т.п.)",5,5,"Календарь с напоминаниями, Анкеты друзей с предпочтениями, Возможность делиться идеями подарков",Значительно лучше аналогов,,,"Конфиденциальность данных, Навязчивая реклама",Зависит от цены и набора функций,Ежемесячная подписка (99 руб.),"Готова(ов) платить, чтобы убрать рекламу","Раздражает, воспринимаю как спам","Скидка на первый месяц, Расширенные функции (например, AI-подбор подарков)",50–100 руб.,
5/22/2025 11:58:18,Команда 1,2,"Заметки, Личные сообщения в мессенджере (избранное, закрытый канал и т.п.)",4,2,"Календарь с напоминаниями, Анкеты друзей с предпочтениями",Есть небольшие преимущества,,,"Навязчивая реклама, Сложность интерфейса",Предпочитаю бесплатные аналоги,Покупка премиум-функций отдельно,Иногда раздражает,Нейтрально,"Скидка на первый месяц, Эксклюзивный контент (например, гайды по выбору подарков)",50–100 руб.,
5/22/2025 11:59:52,5,4,"Obsidian/Logseq, Заметки",2,5,"Подбор подарков через партнёрские магазины, Возможность делиться идеями подарков, Рейтинг популярных подарков",Значительно лучше аналогов,,,"Сложность интерфейса, Недостаток полезного контента",Зависит от цены и набора функций,Покупка премиум-функций отдельно,Совсем не мешает,"Это удобно, если подарки качественные","Эксклюзивный контент (например, гайды по выбору подарков), Расширенные функции (например, AI-подбор подарков)",Более 200 руб.,
5/22/2025 12:01:36,команда 2,4,Office (или Libre),4,4,"Календарь с напоминаниями, Анкеты друзей с предпочтениями",Значительно лучше аналогов,,,Конфиденциальность данных,"Готов(а) платить, если сервис решит мои проблемы",Годовая подписка (999 руб.),"Раздражает, но платить чтобы убрать рекламу не буду","Раздражает, воспринимаю как спам","Эксклюзивный контент (например, гайды по выбору подарков), Расширенные функции (например, AI-подбор подарков)",100–200 руб.,
